filename,a1_malloc_calls,a2_free_calls,a3_missing_frees,b1_alloc_bytes,b2_free_bytes,b3_leak_bytes,c_run_time_sec
qasan_report_2025-05-15_22-34-40.txt,27912,27367,545,2598169,2518892,79277,1.173301
qasan_report_2025-05-15_22-35-17.txt,27004,26459,545,2464073,2384796,79277,1.138685
qasan_report_2025-05-15_22-35-54.txt,26934,26389,545,2452681,2373404,79277,1.147804
qasan_report_2025-05-15_22-36-31.txt,27053,26508,545,2471469,2392192,79277,1.154612
qasan_report_2025-05-15_22-37-07.txt,27053,26508,545,2471625,2392348,79277,1.17306
qasan_report_2025-05-15_22-37-43.txt,26934,26389,545,2452417,2373140,79277,1.143173
qasan_report_2025-05-15_22-38-20.txt,27907,27362,545,2606749,2527472,79277,1.159764
qasan_report_2025-05-15_22-38-56.txt,27928,27383,545,2610177,2530900,79277,1.170697
qasan_report_2025-05-15_22-39-34.txt,27053,26508,545,2471575,2392298,79277,1.14796
qasan_report_2025-05-15_22-40-10.txt,27053,26508,545,2471367,2392090,79277,1.164717
qasan_report_2025-05-15_22-40-47.txt,27053,26508,545,2471311,2392034,79277,1.152309
qasan_report_2025-05-15_22-41-24.txt,27060,26515,545,2472183,2392906,79277,1.147095
qasan_report_2025-05-15_22-42-01.txt,27039,26494,545,2468919,2389642,79277,1.148369
qasan_report_2025-05-15_22-42-38.txt,26933,26388,545,2419619,2340342,79277,1.20246
qasan_report_2025-05-15_22-43-14.txt,26934,26389,545,2452419,2373142,79277,1.149347
qasan_report_2025-05-15_22-43-51.txt,27270,26725,545,2505767,2426490,79277,1.150631
qasan_report_2025-05-15_22-44-28.txt,27270,26725,545,2505715,2426438,79277,1.150097
qasan_report_2025-05-15_22-45-05.txt,27060,26515,545,2472475,2393198,79277,1.149738
qasan_report_2025-05-15_22-45-41.txt,27172,26627,545,2490091,2410814,79277,1.158493
qasan_report_2025-05-15_22-46-17.txt,26934,26389,545,2452531,2373254,79277,1.161236
qasan_report_2025-05-15_22-46-54.txt,26941,26396,545,2453639,2374362,79277,1.180645
qasan_report_2025-05-15_22-47-30.txt,29608,29086,522,2882042,2803574,78468,1.205894
qasan_report_2025-05-15_22-48-05.txt,29825,29303,522,2915294,2836826,78468,1.172651
qasan_report_2025-05-15_22-48-40.txt,30483,29961,522,3019254,2940786,78468,1.185206
qasan_report_2025-05-15_22-49-13.txt,30637,30115,522,3044198,2965730,78468,1.185191
qasan_report_2025-05-15_22-49-48.txt,29524,29002,522,2866682,2788214,78468,1.165006
qasan_report_2025-05-15_22-50-23.txt,35005,34483,522,3735406,3656938,78468,1.313413
qasan_report_2025-05-15_22-50-58.txt,35103,34581,522,3751282,3672814,78468,1.307987
qasan_report_2025-05-15_22-51-34.txt,30392,29870,522,3005234,2926766,78468,1.182958
qasan_report_2025-05-15_22-52-08.txt,30497,29975,522,3021086,2942618,78468,1.188655
qasan_report_2025-05-15_22-52-43.txt,30497,29975,522,3020890,2942422,78468,1.183997
qasan_report_2025-05-15_22-53-17.txt,30120,29598,522,2960346,2881878,78468,1.195518
qasan_report_2025-05-15_22-53-52.txt,29692,29170,522,2892882,2814414,78468,1.17655
qasan_report_2025-05-15_22-54-28.txt,29692,29170,522,2893274,2814806,78468,1.1584
qasan_report_2025-05-15_22-55-02.txt,29685,29163,522,2892166,2813698,78468,1.215062
qasan_report_2025-05-15_22-55-37.txt,31337,30815,522,3154238,3075770,78468,1.1947
qasan_report_2025-05-15_22-56-12.txt,31337,30815,522,3154046,3075578,78468,1.205234
qasan_report_2025-05-15_22-56-47.txt,30763,30241,522,3063190,2984722,78468,1.193734
qasan_report_2025-05-15_22-57-23.txt,31001,30479,522,3100470,3022002,78468,1.192278
qasan_report_2025-05-15_22-57-57.txt,29531,29009,522,2868182,2789714,78468,1.153397
qasan_report_2025-05-15_22-58-32.txt,29468,28946,522,2858210,2779742,78468,1.159014
qasan_report_2025-05-15_22-59-07.txt,27315,26793,522,2543018,2464550,78468,1.104668
qasan_report_2025-05-15_22-59-41.txt,27903,27381,522,2635706,2557238,78468,1.123832
qasan_report_2025-05-15_23-00-17.txt,27483,26961,522,2569162,2490694,78468,1.105986
qasan_report_2025-05-15_23-00-51.txt,27483,26961,522,2569354,2490886,78468,1.152769
qasan_report_2025-05-15_23-01-26.txt,27301,26779,522,2540098,2461630,78468,1.110645
qasan_report_2025-05-15_23-02-01.txt,29002,28480,522,2809726,2731258,78468,1.140062
qasan_report_2025-05-15_23-02-35.txt,29072,28550,522,2820934,2742466,78468,1.1609
qasan_report_2025-05-15_23-03-10.txt,27490,26968,522,2570398,2491930,78468,1.11248
qasan_report_2025-05-15_23-03-45.txt,27581,27059,522,2584546,2506078,78468,1.143776
qasan_report_2025-05-15_23-04-19.txt,27616,27094,522,2590022,2511554,78468,1.106118
qasan_report_2025-05-15_23-04-54.txt,27490,26968,522,2569822,2491354,78468,1.107414
qasan_report_2025-05-15_23-05-29.txt,27308,26786,522,2541078,2462610,78468,1.101582
