filename,a1_malloc_calls,a2_free_calls,a3_missing_frees,b1_alloc_bytes,b2_free_bytes,b3_leak_bytes,c_run_time_sec
qasan_report_2025-05-16_15-07-39.txt,28950,28422,528,2699327,2620732,78595,1.258861
qasan_report_2025-05-16_15-08-13.txt,37333,36805,528,4000421,3921826,78595,1.519564
qasan_report_2025-05-16_15-08-46.txt,34806,34278,528,3598853,3520258,78595,1.398772
qasan_report_2025-05-16_15-09-19.txt,32013,31485,528,3156569,3077974,78595,1.375841
qasan_report_2025-05-16_15-09-51.txt,32195,31667,528,3185185,3106590,78595,1.356211
qasan_report_2025-05-16_15-10-24.txt,33665,33137,528,3418249,3339654,78595,1.453595
qasan_report_2025-05-16_15-10-57.txt,34572,34043,529,3633847,3555148,78699,1.382375
qasan_report_2025-05-16_15-11-30.txt,27784,27256,528,2528483,2449888,78595,1.228022
qasan_report_2025-05-16_15-12-02.txt,28255,27727,528,2597835,2519240,78595,1.244438
qasan_report_2025-05-16_15-12-35.txt,28696,28168,528,2664699,2586104,78595,1.202231
qasan_report_2025-05-16_15-13-08.txt,30664,30136,528,2966155,2887560,78595,1.311362
qasan_report_2025-05-16_15-13-41.txt,29750,29222,528,2818911,2740316,78595,1.244711
qasan_report_2025-05-16_15-14-14.txt,30792,30264,528,2958798,2880203,78595,1.3091
qasan_report_2025-05-16_15-14-47.txt,30687,30159,528,2959131,2880536,78595,1.293089
qasan_report_2025-05-16_15-15-19.txt,30840,30307,533,2979986,2901065,78921,1.288199
qasan_report_2025-05-16_15-15-53.txt,31670,31142,528,3100787,3022192,78595,1.31206
qasan_report_2025-05-16_15-16-25.txt,31726,31198,528,3108481,3029886,78595,1.297065
qasan_report_2025-05-16_15-16-58.txt,31754,31226,528,3114369,3035774,78595,1.319194
qasan_report_2025-05-16_15-17-31.txt,29546,29018,528,2793519,2714924,78595,1.266077
qasan_report_2025-05-16_15-18-04.txt,29316,28788,528,2754195,2675600,78595,1.241439
qasan_report_2025-05-16_15-18-36.txt,29315,28787,528,2755869,2677274,78595,1.224648
qasan_report_2025-05-16_15-19-09.txt,27804,27276,528,2531799,2453204,78595,1.191371
qasan_report_2025-05-16_15-19-41.txt,28382,27854,528,2621319,2542724,78595,1.218765
